Key,File,Type,UsedInMainMenu,NoTranslate,english
reqPerceptionLevel01,progression,Perk,,,"Requires Perception Level 1"
reqPerceptionLevel02,progression,Perk,,,"Requires Perception Level 2"
reqPerceptionLevel03,progression,Perk,,,"Requires Perception Level 3"
reqPerceptionLevel04,progression,Perk,,,"Requires Perception Level 4"
reqPerceptionLevel05,progression,Perk,,,"Requires Perception Level 5"
reqPerceptionLevel06,progression,Perk,,,"Requires Perception Level 6"
reqPerceptionLevel07,progression,Perk,,,"Requires Perception Level 7"
reqPerceptionLevel08,progression,Perk,,,"Requires Perception Level 8"
reqPerceptionLevel09,progression,Perk,,,"Requires Perception Level 9"
reqPerceptionLevel10,progression,Perk,,,"Requires Perception Level 10"
reqStrengthLevel01,progression,Perk,,,"Requires Strength Level 1"
reqStrengthLevel02,progression,Perk,,,"Requires Strength Level 2"
reqStrengthLevel03,progression,Perk,,,"Requires Strength Level 3"
reqStrengthLevel04,progression,Perk,,,"Requires Strength Level 4"
reqStrengthLevel05,progression,Perk,,,"Requires Strength Level 5"
reqStrengthLevel06,progression,Perk,,,"Requires Strength Level 6"
reqStrengthLevel07,progression,Perk,,,"Requires Strength Level 7"
reqStrengthLevel08,progression,Perk,,,"Requires Strength Level 8"
reqStrengthLevel09,progression,Perk,,,"Requires Strength Level 9"
reqStrengthLevel10,progression,Perk,,,"Requires Strength Level 10"
reqFortitudeLevel01,progression,Perk,,,"Requires Fortitude Level 1"
reqFortitudeLevel02,progression,Perk,,,"Requires Fortitude Level 2"
reqFortitudeLevel03,progression,Perk,,,"Requires Fortitude Level 3"
reqFortitudeLevel04,progression,Perk,,,"Requires Fortitude Level 4"
reqFortitudeLevel05,progression,Perk,,,"Requires Fortitude Level 5"
reqFortitudeLevel06,progression,Perk,,,"Requires Fortitude Level 6"
reqFortitudeLevel07,progression,Perk,,,"Requires Fortitude Level 7"
reqFortitudeLevel08,progression,Perk,,,"Requires Fortitude Level 8"
reqFortitudeLevel09,progression,Perk,,,"Requires Fortitude Level 9"
reqFortitudeLevel10,progression,Perk,,,"Requires Fortitude Level 10"
reqAgilityLevel01,progression,Perk,,,"Requires Agility Level 1"
reqAgilityLevel02,progression,Perk,,,"Requires Agility Level 2"
reqAgilityLevel03,progression,Perk,,,"Requires Agility Level 3"
reqAgilityLevel04,progression,Perk,,,"Requires Agility Level 4"
reqAgilityLevel05,progression,Perk,,,"Requires Agility Level 5"
reqAgilityLevel06,progression,Perk,,,"Requires Agility Level 6"
reqAgilityLevel07,progression,Perk,,,"Requires Agility Level 7"
reqAgilityLevel08,progression,Perk,,,"Requires Agility Level 8"
reqAgilityLevel09,progression,Perk,,,"Requires Agility Level 9"
reqAgilityLevel10,progression,Perk,,,"Requires Agility Level 10"
reqIntellectLevel01,progression,Perk,,,"Requires Intellect Level 1"
reqIntellectLevel02,progression,Perk,,,"Requires Intellect Level 2"
reqIntellectLevel03,progression,Perk,,,"Requires Intellect Level 3"
reqIntellectLevel04,progression,Perk,,,"Requires Intellect Level 4"
reqIntellectLevel05,progression,Perk,,,"Requires Intellect Level 5"
reqIntellectLevel06,progression,Perk,,,"Requires Intellect Level 6"
reqIntellectLevel07,progression,Perk,,,"Requires Intellect Level 7"
reqIntellectLevel08,progression,Perk,,,"Requires Intellect Level 8"
reqIntellectLevel09,progression,Perk,,,"Requires Intellect Level 9"
reqIntellectLevel10,progression,Perk,,,"Requires Intellect Level 10"

attPerceptionRank01Desc,progression,Perk,,,"Your senses sharpen. +5% crit chance."
attPerceptionRank01LongDesc,progression,Perk,,,"Perception governs your awareness of threats and opportunities. Each rank increases critical hit chance by 5% and headshot damage."
attPerceptionRank02Desc,progression,Perk,,,"+5% headshot damage."
attPerceptionRank02LongDesc,progression,Perk,,,"Your eye for weak points grows. Headshots now deal 5% more damage."
attPerceptionRank03Desc,progression,Perk,,,"+10% headshot damage."
attPerceptionRank03LongDesc,progression,Perk,,,"Combat instincts developing. Headshot damage bonus increases."
attPerceptionRank04Desc,progression,Perk,,,"+15% headshot damage."
attPerceptionRank04LongDesc,progression,Perk,,,"You read enemy movements before they happen."
attPerceptionRank05Desc,progression,Perk,,,"+20% headshot damage. Zombie health bars visible."
attPerceptionRank05LongDesc,progression,Perk,,,"At rank 5, you can gauge enemy health at a glance. Zombie health bars are visible at close range."
attPerceptionRank06Desc,progression,Perk,,,"+25% headshot damage."
attPerceptionRank06LongDesc,progression,Perk,,,"Your perception borders on supernatural."
attPerceptionRank07Desc,progression,Perk,,,"+30% headshot damage."
attPerceptionRank07LongDesc,progression,Perk,,,"Every detail is a weapon in your hands."
attPerceptionRank08Desc,progression,Perk,,,"+35% headshot damage."
attPerceptionRank08LongDesc,progression,Perk,,,"The world moves in slow motion to your trained eyes."
attPerceptionRank09Desc,progression,Perk,,,"+40% headshot damage."
attPerceptionRank09LongDesc,progression,Perk,,,"Nothing escapes your notice."
attPerceptionRank10Desc,progression,Perk,,,"+50% headshot damage. Detect sleepers."
attPerceptionRank10LongDesc,progression,Perk,,,"At maximum rank, your awareness extends beyond sight. Nearby sleeper zombies are revealed on your HUD."

attStrengthRank01Desc,progression,Perk,,,"+3% weapon damage, +10 carry."
attStrengthRank01LongDesc,progression,Perk,,,"Strength governs raw physical power. Each rank increases all weapon damage by 3% and carry capacity by 10."
attStrengthRank02Desc,progression,Perk,,,"+6% weapon damage, +20 carry."
attStrengthRank02LongDesc,progression,Perk,,,"Your strikes land harder. Your pack feels lighter."
attStrengthRank03Desc,progression,Perk,,,"+9% weapon damage, +30 carry."
attStrengthRank03LongDesc,progression,Perk,,,"You can shoulder loads that would break lesser survivors."
attStrengthRank04Desc,progression,Perk,,,"+12% weapon damage, +40 carry."
attStrengthRank04LongDesc,progression,Perk,,,"Muscles honed by daily survival."
attStrengthRank05Desc,progression,Perk,,,"+15% weapon damage, +50 carry. Power attacks -20% stamina."
attStrengthRank05LongDesc,progression,Perk,,,"At rank 5, your power attacks become more efficient, costing 20% less stamina."
attStrengthRank06Desc,progression,Perk,,,"+18% weapon damage, +60 carry."
attStrengthRank06LongDesc,progression,Perk,,,"You are the alpha predator now."
attStrengthRank07Desc,progression,Perk,,,"+21% weapon damage, +70 carry."
attStrengthRank07LongDesc,progression,Perk,,,"Even steel bends to your will."
attStrengthRank08Desc,progression,Perk,,,"+24% weapon damage, +80 carry."
attStrengthRank08LongDesc,progression,Perk,,,"The dead fear your approach."
attStrengthRank09Desc,progression,Perk,,,"+27% weapon damage, +90 carry."
attStrengthRank09LongDesc,progression,Perk,,,"Your body is a weapon forged in the apocalypse."
attStrengthRank10Desc,progression,Perk,,,"+30% weapon damage, +100 carry. +25% block damage."
attStrengthRank10LongDesc,progression,Perk,,,"At maximum rank, your strikes demolish structures. Block damage increased by 25%."

attFortitudeRank01Desc,progression,Perk,,,"+10 max HP, +3% damage resistance."
attFortitudeRank01LongDesc,progression,Perk,,,"Fortitude governs your physical resilience. Each rank increases max health by 10 and damage resistance by 3%."
attFortitudeRank02Desc,progression,Perk,,,"+20 max HP, +6% damage resistance."
attFortitudeRank02LongDesc,progression,Perk,,,"Pain is just information your body learns to ignore."
attFortitudeRank03Desc,progression,Perk,,,"+30 max HP, +9% damage resistance."
attFortitudeRank03LongDesc,progression,Perk,,,"Wounds that would cripple others barely slow you."
attFortitudeRank04Desc,progression,Perk,,,"+40 max HP, +12% damage resistance."
attFortitudeRank04LongDesc,progression,Perk,,,"Your body has adapted to constant trauma."
attFortitudeRank05Desc,progression,Perk,,,"+50 max HP, +15% damage resistance. Bleed/stun halved."
attFortitudeRank05LongDesc,progression,Perk,,,"At rank 5, bleeding and stun durations are reduced by 50%. Your body fights back."
attFortitudeRank06Desc,progression,Perk,,,"+60 max HP, +18% damage resistance."
attFortitudeRank06LongDesc,progression,Perk,,,"You've been bitten, broken, and burned. You got back up every time."
attFortitudeRank07Desc,progression,Perk,,,"+70 max HP, +21% damage resistance."
attFortitudeRank07LongDesc,progression,Perk,,,"The wasteland has forged you into something harder than steel."
attFortitudeRank08Desc,progression,Perk,,,"+80 max HP, +24% damage resistance."
attFortitudeRank08LongDesc,progression,Perk,,,"Your tolerance for punishment is legendary."
attFortitudeRank09Desc,progression,Perk,,,"+90 max HP, +27% damage resistance."
attFortitudeRank09LongDesc,progression,Perk,,,"Death has tried. Death has failed."
attFortitudeRank10Desc,progression,Perk,,,"+100 max HP, +30% damage resistance. Death penalty -50%."
attFortitudeRank10LongDesc,progression,Perk,,,"At maximum rank, death itself loses its sting. XP loss and debuff duration from dying are halved."

attAgilityRank01Desc,progression,Perk,,,"+2% move speed, +5% sneak damage."
attAgilityRank01LongDesc,progression,Perk,,,"Agility governs your speed and stealth. Each rank increases movement speed by 2% and sneak attack damage by 5%."
attAgilityRank02Desc,progression,Perk,,,"+4% move speed, +10% sneak damage."
attAgilityRank02LongDesc,progression,Perk,,,"You move like water, flowing around obstacles."
attAgilityRank03Desc,progression,Perk,,,"+6% move speed, +15% sneak damage."
attAgilityRank03LongDesc,progression,Perk,,,"Your footfalls make no sound on any surface."
attAgilityRank04Desc,progression,Perk,,,"+8% move speed, +20% sneak damage."
attAgilityRank04LongDesc,progression,Perk,,,"Speed and silence are your weapons."
attAgilityRank05Desc,progression,Perk,,,"+10% move speed, +25% sneak damage. Sprint stamina -25%."
attAgilityRank05LongDesc,progression,Perk,,,"At rank 5, sprinting drains 25% less stamina. You can run forever."
attAgilityRank06Desc,progression,Perk,,,"+12% move speed, +30% sneak damage."
attAgilityRank06LongDesc,progression,Perk,,,"The undead turn to find nothing but shadows."
attAgilityRank07Desc,progression,Perk,,,"+14% move speed, +35% sneak damage."
attAgilityRank07LongDesc,progression,Perk,,,"You are faster than fear."
attAgilityRank08Desc,progression,Perk,,,"+16% move speed, +40% sneak damage."
attAgilityRank08LongDesc,progression,Perk,,,"Every motion is economical, purposeful, deadly."
attAgilityRank09Desc,progression,Perk,,,"+18% move speed, +45% sneak damage."
attAgilityRank09LongDesc,progression,Perk,,,"You exist between heartbeats."
attAgilityRank10Desc,progression,Perk,,,"+20% move speed, +50% sneak damage. Fall damage -50%."
attAgilityRank10LongDesc,progression,Perk,,,"At maximum rank, you take half damage from falls. Heights are just shortcuts."

attIntellectRank01Desc,progression,Perk,,,"+3% XP gain, +5% barter prices."
attIntellectRank01LongDesc,progression,Perk,,,"Intellect governs your technical knowledge and economic savvy. Each rank increases XP gain by 3% and improves buy/sell prices by 5%."
attIntellectRank02Desc,progression,Perk,,,"+6% XP gain, +10% barter prices."
attIntellectRank02LongDesc,progression,Perk,,,"You learn faster than others and trade smarter."
attIntellectRank03Desc,progression,Perk,,,"+9% XP gain, +15% barter prices."
attIntellectRank03LongDesc,progression,Perk,,,"Traders respect your knowledge of fair value."
attIntellectRank04Desc,progression,Perk,,,"+12% XP gain, +20% barter prices."
attIntellectRank04LongDesc,progression,Perk,,,"Every experience is a lesson you absorb completely."
attIntellectRank05Desc,progression,Perk,,,"+15% XP gain, +25% barter prices. Crafting speed +20%."
attIntellectRank05LongDesc,progression,Perk,,,"At rank 5, your hands work 20% faster at workstations. Efficiency through understanding."
attIntellectRank06Desc,progression,Perk,,,"+18% XP gain, +30% barter prices."
attIntellectRank06LongDesc,progression,Perk,,,"You see solutions where others see scrap."
attIntellectRank07Desc,progression,Perk,,,"+21% XP gain, +35% barter prices."
attIntellectRank07LongDesc,progression,Perk,,,"Your inventions border on pre-apocalypse engineering."
attIntellectRank08Desc,progression,Perk,,,"+24% XP gain, +40% barter prices."
attIntellectRank08LongDesc,progression,Perk,,,"Traders come to you for advice now."
attIntellectRank09Desc,progression,Perk,,,"+27% XP gain, +45% barter prices."
attIntellectRank09LongDesc,progression,Perk,,,"Every material has a purpose. Nothing is waste."
attIntellectRank10Desc,progression,Perk,,,"+30% XP gain, +50% barter prices. Crafted items +1 quality."
attIntellectRank10LongDesc,progression,Perk,,,"At maximum rank, everything you craft is one quality tier higher. Mastery of matter itself."

perkHawkEyeName,progression,Perk,,,"Hawk Eye"
perkHawkEyeDesc,progression,Perk,,,"Precision targeting. Headshots deal devastating damage."
perkHawkEyeRank1Desc,progression,Perk,,,"Headshot damage +10%."
perkHawkEyeRank1LongDesc,progression,Perk,,,"Your aim finds weak points. Headshot damage increased by 10%."
perkHawkEyeRank2Desc,progression,Perk,,,"Headshot damage +18%."
perkHawkEyeRank2LongDesc,progression,Perk,,,"Muscle memory guides your crosshair. Headshot damage increased by 18%."
perkHawkEyeRank3Desc,progression,Perk,,,"Headshot damage +25%. Headshot dismember 10%."
perkHawkEyeRank3LongDesc,progression,Perk,,,"Headshots now have a 10% chance to dismember. Headshot damage increased by 25%."
perkHawkEyeRank4Desc,progression,Perk,,,"Headshot damage +35%. Headshot dismember 20%."
perkHawkEyeRank4LongDesc,progression,Perk,,,"One shot, one kill philosophy. Headshot damage 35%, dismember chance 20%."
perkHawkEyeRank5Desc,progression,Perk,,,"Headshot damage +50%. Headshot dismember 35%."
perkHawkEyeRank5LongDesc,progression,Perk,,,"Master marksman. Every headshot is a potential decapitation. +50% damage, 35% dismember."

perkVitalStrikeName,progression,Perk,,,"Vital Strike"
perkVitalStrikeDesc,progression,Perk,,,"Critical hits are deadlier. Higher crit multiplier and bleed."
perkVitalStrikeRank1Desc,progression,Perk,,,"Crit chance +3%."
perkVitalStrikeRank1LongDesc,progression,Perk,,,"You learn to strike where it hurts most. Critical hit chance increased by 3%."
perkVitalStrikeRank2Desc,progression,Perk,,,"Crit chance +5%."
perkVitalStrikeRank2LongDesc,progression,Perk,,,"Your attacks find vital points with increasing accuracy. +5% crit chance."
perkVitalStrikeRank3Desc,progression,Perk,,,"Crit chance +7%. Bleed on crit 5%."
perkVitalStrikeRank3LongDesc,progression,Perk,,,"Critical hits now have a 5% chance to cause bleeding. +7% crit chance."
perkVitalStrikeRank4Desc,progression,Perk,,,"Crit chance +9%. Bleed on crit 8%."
perkVitalStrikeRank4LongDesc,progression,Perk,,,"Every critical strike tears flesh. +9% crit chance, 8% bleed chance."
perkVitalStrikeRank5Desc,progression,Perk,,,"Crit chance +12%. Bleed on crit 12%."
perkVitalStrikeRank5LongDesc,progression,Perk,,,"Master of anatomy. +12% crit chance, 12% bleed on critical hits."

perkPiercingGazeName,progression,Perk,,,"Piercing Gaze"
perkPiercingGazeDesc,progression,Perk,,,"Bullets and bolts pierce through enemies."
perkPiercingGazeRank1Desc,progression,Perk,,,"+10% damage to aware enemies."
perkPiercingGazeRank1LongDesc,progression,Perk,,,"Your analytical eye finds structural weaknesses. +10% damage to enemies that have spotted you."
perkPiercingGazeRank2Desc,progression,Perk,,,"+15% damage to aware enemies."
perkPiercingGazeRank2LongDesc,progression,Perk,,,"Facing the enemy head-on reveals their weakness. +15% damage bonus."
perkPiercingGazeRank3Desc,progression,Perk,,,"Bullets pierce 1 target. +5% pierce damage."
perkPiercingGazeRank3LongDesc,progression,Perk,,,"Your shots punch through the first target. Piercing damage bonus +5%."
perkPiercingGazeRank4Desc,progression,Perk,,,"Bullets pierce 1 target. +10% pierce damage."
perkPiercingGazeRank4LongDesc,progression,Perk,,,"Improved penetration. Each pierced target takes 10% bonus damage."
perkPiercingGazeRank5Desc,progression,Perk,,,"Bullets pierce 1 target. +15% pierce damage."
perkPiercingGazeRank5LongDesc,progression,Perk,,,"Master penetrator. Rounds designed to exit and continue. +15% piercing damage."

perkOverwatchName,progression,Perk,,,"Overwatch"
perkOverwatchDesc,progression,Perk,,,"Deal bonus damage to distant targets."
perkOverwatchRank1Desc,progression,Perk,,,"+10% effective range. -8% ADS spread."
perkOverwatchRank1LongDesc,progression,Perk,,,"You command the battlefield from distance. +10% damage falloff range, reduced ADS spread."
perkOverwatchRank2Desc,progression,Perk,,,"+20% effective range. -15% ADS spread."
perkOverwatchRank2LongDesc,progression,Perk,,,"Extended engagement range. Your shots stay accurate further."
perkOverwatchRank3Desc,progression,Perk,,,"+30% effective range. -22% ADS spread."
perkOverwatchRank3LongDesc,progression,Perk,,,"Long-range specialist. Significant improvement to ranged combat."
perkOverwatchRank4Desc,progression,Perk,,,"+40% effective range. -30% ADS spread."
perkOverwatchRank4LongDesc,progression,Perk,,,"At this range, they can't even hear the shot. Devastating accuracy."
perkOverwatchRank5Desc,progression,Perk,,,"+50% effective range. -40% ADS spread."
perkOverwatchRank5LongDesc,progression,Perk,,,"Master of ranged engagement. Maximum range, minimum spread. Total battlefield control."

perkReconName,progression,Perk,,,"Recon"
perkReconDesc,progression,Perk,,,"Find better loot and reveal hidden treasures."
perkReconRank1Desc,progression,Perk,,,"Loot stage +3. Search speed +10%."
perkReconRank1LongDesc,progression,Perk,,,"Trained eyes spot valuable loot others overlook. +3 loot gamestage, 10% faster searching."
perkReconRank2Desc,progression,Perk,,,"Loot stage +6. Search speed +20%."
perkReconRank2LongDesc,progression,Perk,,,"You know where the good stuff hides. +6 loot stage, 20% search speed."
perkReconRank3Desc,progression,Perk,,,"Loot stage +10. Search speed +30%."
perkReconRank3LongDesc,progression,Perk,,,"Every room tells a story of what's hidden. +10 loot stage, 30% search speed."
perkReconRank4Desc,progression,Perk,,,"Loot stage +15. Search speed +40%."
perkReconRank4LongDesc,progression,Perk,,,"Your eyes are magnets for valuables. +15 loot stage, 40% search speed."
perkReconRank5Desc,progression,Perk,,,"Loot stage +20. Search speed +50%."
perkReconRank5LongDesc,progression,Perk,,,"Master scavenger. You find tier-defining loot consistently. +20 loot stage, 50% search speed."

perkSixthSenseName,progression,Perk,,,"Sixth Sense"
perkSixthSenseDesc,progression,Perk,,,"Detect threats before they detect you."
perkSixthSenseRank1Desc,progression,Perk,,,"Sleeper detection range 5m."
perkSixthSenseRank1LongDesc,progression,Perk,,,"A tingling at the base of your skull warns you. Detect sleeping zombies within 5 meters."
perkSixthSenseRank2Desc,progression,Perk,,,"Sleeper detection range 8m."
perkSixthSenseRank2LongDesc,progression,Perk,,,"Your danger sense improves. Detect sleepers within 8 meters."
